Species,Forest,Summer,Fall,Spring
Belted Kingfisher,Low,High,High,High
Yellow-bellied Sapsucker,High,High,High,High
Red-bellied Woodpecker,Medium,Medium,Medium,Medium
Downy Woodpecker,High,High,High,High
Hairy Woodpecker,High,High,High,High
Pileated Woodpecker,High,High,High,High
Northern Flicker,High,High,High,High
American Kestrel,Low,High,High,High
Merlin,Low,High,High,High
Peregrine Falcon,Low,Medium,Medium,Medium
Olive-sided Flycatcher,Medium,High,High,Low
Eastern Wood-Pewee,High,High,High,High
Yellow-bellied Flycatcher,Medium,Medium,Low,Low
Alder Flycatcher,Low,High,High,Low
Willow Flycatcher,Low,High,High,High
Least Flycatcher,High,High,High,High
Eastern Phoebe,High,High,High,High
Great Crested Flycatcher,High,High,High,High
Eastern Kingbird,High,High,High,High
Yellow-throated Vireo,High,High,High,High
Blue-headed Vireo,High,Medium,High,High
Warbling Vireo,High,High,High,High
Red-eyed Vireo,High,High,High,High
Canada Jay,Medium,Medium,Medium,Medium
Blue Jay,High,High,High,High
American Crow,High,High,High,High
Common Raven,High,High,High,High
Black-capped Chickadee,High,High,High,High
Tufted Titmouse,Low,Low,Low,Low
Horned Lark,Low,High,Low,High
Tree Swallow,Low,High,High,High
Purple Martin,Low,High,High,High
Barn Swallow,Low,High,High,High
Cliff Swallow,Low,High,High,High
Ruby-crowned Kinglet,High,Medium,High,High
Golden-crowned Kinglet,High,Medium,High,High
White-breasted Nuthatch,High,High,High,High
Red-breasted Nuthatch,High,High,High,High
Brown Creeper,High,High,High,High
Northern House Wren,High,High,High,High
Winter Wren,High,High,High,High
Marsh Wren,Low,High,High,High
Carolina Wren,Medium,Medium,Medium,Medium
European Starling,High,High,High,High
Gray Catbird,High,High,High,High
Brown Thrasher,High,High,High,High
Eastern Bluebird,High,High,High,High
Veery,High,High,High,High
Swainson's Thrush,Medium,Medium,Low,Medium
Hermit Thrush,High,High,High,High
Wood Thrush,High,High,High,High
American Robin,High,High,High,High
Cedar Waxwing,High,High,High,High
House Sparrow,Low,High,High,High
American Pipit,Low,Low,Medium,Medium
Evening Grosbeak,Medium,Medium,Low,Medium
House Finch,Low,High,High,High
Purple Finch,High,High,High,High
Red Crossbill,Medium,Low,Medium,Medium
Pine Siskin,Medium,Low,Medium,Medium
American Goldfinch,Medium,High,High,High
Chipping Sparrow,Low,High,High,High
Field Sparrow,Low,Low,Low,Low
Dark-eyed Junco,High,High,High,High
White-crowned Sparrow,High,High,High,High
White-throated Sparrow,High,Low,High,High
Savannah Sparrow,Low,High,High,High
Song Sparrow,Low,High,High,High
Lincoln's Sparrow,Low,High,High,High
Swamp Sparrow,Low,High,High,High
Eastern Towhee,High,High,High,High
Bobolink,Low,High,High,High
Eastern Meadowlark,Low,High,High,High
Baltimore Oriole,High,High,High,High
Red-winged Blackbird,Low,High,High,High
Brown-headed Cowbird,High,High,High,High
Rusty Blackbird,Medium,Low,High,High
Common Grackle,High,High,High,High
Ovenbird,High,High,High,High
Northern Waterthrush,Medium,Medium,Medium,Medium
Golden-winged Warbler,Medium,Medium,Medium,Medium
Black-and-white Warbler,High,High,High,High
Tennessee Warbler,High,Low,High,High
Nashville Warbler,Medium,Medium,High,High
Mourning Warbler,Medium,Medium,Medium,Medium
Common Yellowthroat,Low,High,High,High
American Redstart,High,High,High,High
Cape May Warbler,Medium,Low,Medium,Medium
Northern Parula,High,Low,High,High
Magnolia Warbler,Medium,Medium,Medium,Medium
Bay-breasted Warbler,High,Low,High,High
Blackburnian Warbler,High,High,High,High
Yellow Warbler,High,High,High,High
Chestnut-sided Warbler,High,High,High,High
Blackpoll Warbler,Medium,Medium,Medium,Medium
Black-throated Blue Warbler,High,High,High,High
Palm Warbler,High,High,High,High
Pine Warbler,High,High,High,High
Yellow-rumped Warbler,High,High,High,High
Black-throated Green Warbler,High,High,High,High
Canada Warbler,Medium,Medium,Medium,Medium
Scarlet Tanager,High,High,High,High
Northern Cardinal,High,High,High,High
Rose-breasted Grosbeak,High,High,High,High
Indigo Bunting,Medium,Medium,Medium,Medium
