Species,Forest,Summer,Fall,Spring,,,
Least Flycatcher,high,high,high,high,,migratory,
Eastern Phoebe,low,low,low,low,,migratory,
Great Crested Flycatcher,med,med,med,med,,migratory,
Eastern Kingbird,low,low,low,low,,migratory,
Yellow-throated Vireo,high,high,high,high,,migratory,
Blue-headed Vireo,high,high,high,high,,migratory,
Warbling Vireo,high,high,high,high,,migratory,
Red-eyed Vireo,high,high,high,high,,migratory,
Canada Jay,high,high,high,high,"Coniferous, near  peatlands",,
Blue Jay,high,high,high,high,,,
American Crow,med,med,med,med,,,
Common Raven,high,high,high,high,,,
Black-capped Chickadee,high,high,high,high,,,
Tufted Titmouse,high,high,high,high,,,
Horned Lark,low,low,low,low,seen more in winter,,
Tree Swallow,low,low,low,low,,migratory,
Purple Martin,low,low,low,low,,migratory,
Barn Swallow,low,low,low,low,,migratory,
Cliff Swallow,low,low,low,low,,migratory,
Ruby-crowned Kinglet,high,high,high,high,,,
Golden-crowned Kinglet,high,high,high,high,,,
White-breasted Nuthatch,high,high,high,high,,,
Red-breasted Nuthatch,high,high,high,high,,,
Brown Creeper,high,high,high,high,,,
Northern House Wren,med,med,med,med,,migratory,
Winter Wren,high,high,high,high,,migratory,
Marsh Wren,low,low,low,low,,migratory,
Carolina Wren,med,med,med,med,young forests,migratory,
European Starling,low,low,low,low,,,
Gray Catbird,low,low,low,low,,migratory,
Brown Thrasher,low,low,low,low,,migratory,
Eastern Bluebird,low,low,low,low,,migratory,
Veery,high,high,high,high,,migratory,
Swainson's Thrush,high,high,high,high,,migratory,
Hermit Thrush,high,high,high,high,,migratory,
Wood Thrush,high,high,high,high,,migratory,
American Robin,med,med,med,med,,some residents,
Cedar Waxwing,med,med,med,med,,,
House Sparrow,low,low,low,low,,,
American Pipit,low,low,low,low,winter mostly,,
Evening Grosbeak,high,high,high,high,I see more in winter,,
House Finch,low,low,low,low,,migratory,
Purple Finch,med,med,low,low,,migratory,
Red Crossbill,high,,,,winter,,
Pine Siskin,high,,,,"winter, conifer forests",,
American Goldfinch,low,low,low,low,,migratory,
Chipping Sparrow,low,low,low,low,,migratory,
Field Sparrow,low,low,low,low,,migratory,
Dark-eyed Junco,med,med,med,med,seen more in late fall to early spring,,
White-crowned Sparrow,low,low,low,low,,migratory,
White-throated Sparrow,med,med,med,med,,migratory,
Savannah Sparrow,low,low,low,low,,migratory,
Song Sparrow,low,low,low,low,,migratory,
Lincoln's Sparrow,low,low,low,low,edges of forested peatlands,migratory,
Swamp Sparrow,low,low,low,low,,migratory,
Eastern Towhee,med,med,med,med,,migratory,
Bobolink,low,low,low,low,,migratory,
Eastern Meadowlark,low,low,low,low,,migratory,
Baltimore Oriole,high,high,high,high,,migratory,
Red-winged Blackbird,low,low,low,low,,migratory,
Brown-headed Cowbird,low,low,low,low,,migratory,
Rusty Blackbird,low,low,low,low,,migratory,
Common Grackle,low,low,low,low,,migratory,
Ovenbird,high,high,high,high,,migratory,
Northern Waterthrush,med,med,med,med,wet areas,migratory,
Golden-winged Warbler,med,med,med,med,young forests,migratory,
Black-and-white Warbler,high,high,high,high,,migratory,
Tennessee Warbler,high,high,high,high,,migratory,
Nashville Warbler,high,high,high,high,,migratory,
Mourning Warbler,high,high,high,high,,migratory,
Common Yellowthroat,low,low,low,low,,migratory,
American Redstart,high,high,high,high,,migratory,
Cape May Warbler,high,high,high,high,,"migratory, but some linger",
Northern Parula,high,high,high,high,,migratory,
Magnolia Warbler,high,high,high,high,,migratory,
Bay-breasted Warbler,high,high,high,high,,migratory,
Blackburnian Warbler,high,high,high,high,,migratory,
Yellow Warbler,low,low,low,low,,migratory,
Chestnut-sided Warbler,med,med,med,med,,migratory,
Blackpoll Warbler,high,high,high,high,,migratory,
Black-throated Blue Warbler,high,high,high,high,,migratory,
Palm Warbler,med,med,med,med,young forests,migratory,
Pine Warbler,med,med,med,med,young conifer,migratory,
Yellow-rumped Warbler,high,high,high,high,,migratory,
Black-throated Green Warbler,high,high,high,high,,migratory,
Canada Warbler,high,high,high,high,,migratory,
Scarlet Tanager,high,high,high,high,,migratory,
Northern Cardinal,med,med,med,med,,,
Rose-breasted Grosbeak,high,high,high,high,,migratory,
Indigo Bunting,low,low,low,low,forest edges ,migratory,
